Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Simples arrêts,fa-chess-rook,lightgrey,green,,Château de Tancarville,media/tancarville.jpg,"La tour de l’Aigle, à Tancarville, où la sœur de Maurice Leblanc l’invitait à écrire.",Tancarville,49.479947,0.4650937
Randonnées possibles,fa-ambulance,lightgrey,green,,L'aiguille d'Etretat,media/aiguille.jpg,Arsène Lupin y aurait découvert le secret des Rois de France,Falaises d'Etretat,49.706607,0.195179
Simples arrêts,fa-home,lightgrey,green,,Maison natale de Maurice Leblanc,media/natale.jpg,87 Rue Jeanne d'Arc,Rouen,49.4460482,1.092693
Randonnées possibles,fa-water,lightgrey,green,,Valleuse de Bruneval,media/bruneval.jpg,"Isidore Beautrelet y passe dans <i>L'aiguille creuse</i>. Lieu d'un épisode intéressant de la Seconde Guerre mondiale : en 1942, des parachutistes britanniques y réussirent un raid sur un radar allemand",Bruneval,49.66661889,0.1595246118
Visites possibles,fa-landmark,lightgrey,green,,Théâtre gallo-romain de Lillebonne,media/lillebonne.jpg,"« La Juliabona des Romains, capitale importante, et dont le théâtre antique prouve la vitalité durant la période gallo-romaine » (<i>La Barre-y-va</i>)",Lillebonne,49.51773445,0.5367752451
Simples arrêts,fa-church,lightgrey,green,,Chapelles de la Barre-y-va,media/barreyva.jpg,,Caudebec-en-Caux,49.52355033,0.7076088251
Visites possibles,fa-place-of-worship,lightgrey,green,,Abbaye de Saint Wandrille,media/wandrille.jpg,,Rives-en-Seine,49.5288581,0.7679534
Simples arrêts,fa-fort-awesome,lightgrey,green,,Emplacement possible du château de Malaquis,,,"Sente du vieux château, Le Trait",49.4719456,0.8136469
Simples arrêts,fa-home,lightgrey,green,,Maison de l'oncle Achille,media/achille.jpg,Maurice Leblanc y venait passer ses vacances enfant.,Jumièges,49.431826,0.8177847187
Visites possibles,fa-place-of-worship,lightgrey,green,,Abbaye de Jumièges,media/jumieges.jpg,,Jumièges,49.43195,0.818877
Simples arrêts,fa-chess-rook,lightgrey,green,,Manoir d'Agnès Sorel,media/manoir.jpg,,Le Mesnil-sous-Jumièges,49.41068732,0.8521763405
Visites possibles,fa-place-of-worship,lightgrey,green,,Abbaye Saint Georges de Boscherville,media/boscherville.jpg,,Saint-Martin-de-Boscherville,49.4442187,0.9644013
Simples arrêts,fa-home,lightgrey,green,,Maison où Maurice Leblanc a passé son enfance,media/fontenelle.jpg,,Rouen,49.4408323,1.084226
